"id","parent_id","child_id","logical_name","physical_name","url","display_order","is_show"
"1","","","管理者","admin","","1","1"
"2","1","","顧客","client","","2","1"
"3","1","","ユーザー","user","","3","1"
"4","1","","ロール","role","","4","1"
"5","1","","メニュー","menu","","5","1"
"6","1","","","role_menu","","6","0"
"7","","","バッチ","batch","","7","1"
"8","7","","ジョブスケジュール","job_schedule","","8","1"
"9","7","","インポートテーブル","import_table","","9","1"
"10","7","","インポートカラム","import_column","","10","1"
"11","7","","エクスポートテーブル","export_table","","11","1"
"12","7","","エクスポートカラム","export_column","","12","1"
"13","7","","インポート履歴","import_history","","13","1"
"14","7","","移行テーブル","transfer_table","","14","1"
"15","7","","移行カラム","transfer_column","","15","1"
"16","7","","リコンサイル","reconcile","","16","1"
"17","7","","マイグレーション","migrate_table","","17","1"
"18","7","","マイグレーションカラム","migrate_column","","18","1"
"19","","","マスタ","master","","19","1"
"20","19","","メール通知","mail_notice","","20","1"
"21","19","","エラーチェック","error_check","","21","1"
"22","19","","メール内容","mail_content","","22","1"
"23","","","入出金","transaction","","23","1"
"24","23","","入出金明細","transaction_detail","","24","1"
"25","23","","銀行残高","bank_balance","","25","1"
"26","23","","残高","balance","","26","1"
"27","23","","送金","remittance","","27","1"
"28","23","","入出金ファイル","interface_file","","28","1"
"29","","","手数料","fee_menu","","29","1"
"30","29","","手数料","fee","","30","1"
"31","29","","手数料範囲","fee_range","","31","1"
"32","29","","手数料項目条件","fee_condition_item","","32","1"
"33","","","システム","system","","33","1"
"34","33","","環境変数","environment_variable","","34","1"
"35","","","お客さま","customer_menu","","35","1"
"36","35","","送金先受取人","transfer_receipt","","36","1"
"37","35","","お客さま銀行","customer_bank","","37","1"
"38","35","","お客さま口座情報","customer_account","","38","1"
"39","35","","お客さま","customer","","39","1"
